date,mktrf,smb,hml,rf,umd
20080529,0.006100,0.003000,-0.002500,0.00008,-0.010900
20080530,0.002900,0.002600,0.000000,0.00008,0.004400
20080602,-0.009800,0.001600,0.002400,0.00008,0.007100
20080603,-0.004600,0.002800,0.000200,0.00008,-0.002100
20080604,0.000200,0.006900,-0.007400,0.00008,-0.000600
20080605,0.019500,0.003100,-0.000900,0.00008,0.004500
20080606,-0.029000,0.001600,-0.000300,0.00008,0.018000
20080609,-0.000300,-0.005300,-0.002200,0.00008,0.020400
20080610,-0.003100,0.000100,-0.002100,0.00008,-0.004900
20080611,-0.016600,-0.001400,-0.001500,0.00008,0.019700
20080612,0.003100,0.000000,-0.000600,0.00008,-0.006700
20080613,0.015500,0.002600,-0.003500,0.00008,-0.003100
20080616,0.001500,0.008800,-0.001900,0.00008,-0.001500
20080617,-0.005500,0.001500,-0.002500,0.00008,0.016500
20080618,-0.009600,0.002000,0.002600,0.00008,0.012400
20080619,0.003400,0.004900,-0.005800,0.00008,-0.005100
20080620,-0.017900,0.003400,0.000700,0.00008,0.014800
20080623,-0.001600,-0.006100,-0.003100,0.00008,0.031700
20080624,-0.005400,-0.011700,0.002800,0.00008,-0.012700
20080625,0.006400,0.003500,-0.004400,0.00008,-0.008400
20080626,-0.028300,0.005600,0.001300,0.00008,0.019100
20080627,-0.003700,0.002300,-0.004200,0.00008,0.009400
20080630,-0.000700,-0.012100,0.003200,0.00008,0.019100
20080701,0.002900,-0.004400,0.002700,0.00007,0.005000
20080702,-0.020000,-0.008600,0.001200,0.00007,0.000600
20080703,-0.001500,-0.006800,-0.001700,0.00007,0.002300
20080707,-0.008100,0.001200,-0.011000,0.00007,0.010300
20080708,0.018400,0.010100,0.023600,0.00007,-0.029900
20080709,-0.020600,-0.000800,-0.013200,0.00007,0.024200
20080710,0.006500,-0.000200,-0.012300,0.00007,0.031800
20080711,-0.008800,0.014800,-0.011100,0.00007,0.016800
20080714,-0.009300,-0.001300,-0.024300,0.00007,0.026300
20080715,-0.009600,0.011500,-0.011500,0.00007,0.001600
